"Var1","Var2","value"
"조원희","신현준",1
"정호빈","신현준",1
"김해곤","신현준",1
"최학락","신현준",1
"임형준","신현준",1
"최동준","신현준",1
"김학철","신현준",1
"김혜옥","신현준",1
"권오중","신현준",1
"서평석","심형래",1
"윤일주","심형래",1
"정봉연","심형래",1
"주상호","심형래",1
"이석구","심형래",1
"박동룡","심형래",1
"박세범","심형래",1
"장동일","심형래",1
"박용팔","심형래",1
"문성근","심혜진",1
"한석규","심혜진",1
"안성기","심혜진",1
"진희경","심혜진",1
"이경영","심혜진",1
"조선묵","심혜진",1
"동방우","심혜진",1
"이두일","심혜진",1
"권태원","심혜진",1
"조학자","심혜진",1
"박부양","심혜진",1
"김성수","심혜진",1
"허준호","심혜진",1
"독고영재","심혜진",1
"박용팔","심혜진",1
"안병경","심혜진",1
"유순철","안성기",1
"설경구","안성기",1
"강신일","안성기",1
"김명곤","안성기",1
"강성진","안성기",1
"강수연","안성기",1
"김인권","안성기",1
"김혜수","안성기",1
"문성근","안성기",1
"박중훈","안성기",1
"송재호","안성기",1
"신현준","안성기",1
"심혜진","안성기",1
"이해룡","안성기",1
"조재현","안성기",1
"하지원","안성기",1
"황신혜","안성기",1
"류승범","안성기",1
"박용수","안성기",1
"김보성","안성기",1
"이경영","안성기",1
"정우성","안성기",1
"이성재","안성기",1
"이얼","안성기",1
"박원상","안성기",1
"동방우","안성기",1
"이두일","안성기",1
"김희라","안성기",1
"사현진","안성기",1
"차인표","안성기",1
"김일우","안성기",1
"박정학","안성기",1
"방은진","안성기",1
"최종원","안성기",1
"권병길","안성기",1
"박철민","안성기",1
"김보연","안성기",1
"권태원","안성기",1
"김기천","안성기",1
"박길수","안성기",1
"정재영","안성기",1
"도용구","안성기",1
"조진웅","안성기",1
"허준호","안성기",1
"독고영재","안성기",1
"정인기","안성기",1
"이도경","안성기",1
"정경순","안성기",1
"최일화","안성기",1
"이용녀","안성기",1
"송영창","안성기",1
"한예리","안성기",1
"김상경","안성기",1
"나문희","안성기",1
"윤문식","안성기",1
"윤주상","안성기",1
"김동수","안성기",1
"박용팔","안성기",1
"김형일","안성기",1
"이한위","안성기",1
"김명수","안성기",1
"정석용","안성기",1
"이일재","이해룡",1
"서평석","이해룡",1
"김명곤","이해룡",1
"안성기","이해룡",1
"정보석","이해룡",1
"양택조","이해룡",1
"조상구","이해룡",1
"김영철","이해룡",1
"주상호","이해룡",1
"전숙","이해룡",1
"정영국","이해룡",1
"박예숙","이해룡",1
"이무정","이해룡",1
"김상중","예지원",1
"유준상","예지원",1
"정경호-1","예지원",1
"정재영","예지원",1
"우현","예지원",1
"백도빈","예지원",1
"김상경","예지원",1
"윤여정","예지원",1
"기주봉","예지원",1
"이선균","예지원",1
"박준규","홍여진",1
